_id,name,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f27081f9),Amul DARK EMERALD ,Amul,Kaira Coop Milk Producers (Anand),10,"Biscuits, Snacks & Chocolates",160,40,20,200,160,20,18,280g,Y,,,https://images-na.ssl-images-amazon.com/images/I/71kpghKaWYL._SL1426_.jpg
ObjectId(5ffb514e80ef0812f27081fa),Amul Kool Cafe Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,20,2.75,11,25,22.25,20,12,200ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/410PmgFiDqL.jpg
ObjectId(5ffb514e80ef0812f27081fb),Amul Kool Thandai Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,16,2.2,11,20,17.8,20,12,180ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/81FAuNaMU7L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081fc),Amul Banana Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,20,2.75,11,25,22.25,20,12,200ml,Y,,,https://i1.wp.com/www.homeshoptoday.com/wp-content/uploads/2020/01/40181677_4-amul-banana-milk-shake.jpg?fit=500%2C500&ssl=1
ObjectId(5ffb514e80ef0812f27081fd),Amul Kool Rose Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,16,2.2,11,20,17.8,20,12,180ml,Y,,,https://content.jdmagicbox.com/quickquotes/images_main/amul-kool-rose-pet-bottle-200-ml-168019918-gsgxh.jpg
ObjectId(5ffb514e80ef0812f27081fe),Amul Kool Kesar Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),8,Beverages,16,2.2,11,20,17.8,20,12,180ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/61QW9TBmqpL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f27081ff),Amul Kool Elaichi Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,16,2.2,11,20,17.8,20,12,180ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/61pMxFTMeZL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708200),Amul Kool Badam Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,16,2.2,11,20,17.8,20,12,180ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/41u6wwxXT9L.jpg
ObjectId(5ffb514e80ef0812f2708201),Amul Kool Sugarfree Elaichi Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,20,2.75,11,25,22.25,20,12,180ml,Y,,,https://www.goldenbasket.co.in/wp-content/uploads/2020/05/10500.jpg
ObjectId(5ffb514e80ef0812f2708202),Amul Kadhai Doodh Pet Bottle,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,16,2.2,11,20,17.8,20,5,180ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/31a0Froc6qL.jpg
