name,Product Name Alternative,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
Dermi Cool Talcum Powder- Radiant Sandal,,Dermi Cool,Reckitt Benckiser,7,Personal Care,94,,12,117,93.6,20%,18%,150g,Y,Long lasting cooling relief from prickling heat,,https://images-na.ssl-images-amazon.com/images/I/81Ui8q6a6IL._SL1500_.jpg
Dermi Cool Talcum Powder- Fresh Aloe,,Dermi Cool,Reckitt Benckiser,7,Personal Care,94,,12,117,93.6,20%,18%,150g,Y,Long lasting cooling relief from prickling heat,,https://images-na.ssl-images-amazon.com/images/I/61YeEPocAqL._SX679_.jpg
Strepsils Jar- Orange,,Strepsils,Reckitt Benckiser,8,Personal Care,240,,20,300,240,20%,18%,100 tablets,Y,First aid for sore throat,,"https://res.cloudinary.com/du8msdgbj/image/upload/l_watermark_346,w_240,h_240/a_ignore,w_240,h_240,c_fit,q_auto,f_auto/v1583930881/awgxbpwo1jxj9obdwe1x.jpg"
Moov Pain relief cream,,Moov,Reckitt Benckiser,8,Personal Care,100,,20,125,100,20%,12%,30g,Y,Pain Relief Specialist,,https://images-na.ssl-images-amazon.com/images/I/51FYzrevVmL._SY450_.jpg
Moov- Active Spray,,Moov,Reckitt Benckiser,7,Personal Care,112,,15,140,112,20%,12%,35g,Y,Pain Relief Specialist,,https://images-na.ssl-images-amazon.com/images/I/51B1Sef4zUL._SL1000_.jpg
Moov- Active Spray,,Moov,Reckitt Benckiser,7,Personal Care,152,,15,190,152,20%,12%,50g,Y,Pain Relief Specialist,,https://images-na.ssl-images-amazon.com/images/I/51j2l0RgVkL._SY450_.jpg
Itch Guard,,Itch Guard,Reckitt Benckiser,8,Personal Care,79,,20,99,79.2,20%,12%,20g,Y,Kills Fungus- Fast action and cooling relief,,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max/static/img/product/168926/itch-guard-plus-cream-20-g_3_display_1550727476_ea2477b8.jpg"
Ring Guard,,Ring Guard,Reckitt Benckiser,8,Personal Care,70,,20,88,70.4,20%,12%,20g,Y,Relief from worm in 7 days,,https://www.littleindia.pl/media/products/578880b30b23c548ff4196db867f0c41/images/thumbnail/large_Ring-Guard.jpg?lm=1595253171
Krack Heel Repair Cream,,Scholl,Reckitt Benckiser,7,Personal Care,72,,15,90,72,20%,12%,25g,Y,Repairs cracked heel in just 5 days,,https://images-na.ssl-images-amazon.com/images/I/71L24FHflaL._SX679_.jpg
Durex Condom- bubble gum,,durex,Reckitt Benckiser,7,Personal Care,120,,20,150,120,20%,0,10 pcs,Y,World's no.1 condom brand,,https://cdn.shopify.com/s/files/1/0072/3681/2858/products/1_5a12dec1-26e3-4a2e-974a-9177dc0a9e29.jpg?v=1573727973
Durex Condom- Extra Dots,,durex,Reckitt Benckiser,7,Personal Care,174,,20,217,173.6,20%,0,10pcs,Y,World's no.1 condom brand,,https://images-na.ssl-images-amazon.com/images/I/61FqQkl3-mL._SL1000_.jpg
Durex Condom- Air,,durex,Reckitt Benckiser,7,Personal Care,174,,20,217,173.6,20%,0,10pcs,Y,World's no.1 condom brand,,https://cdn.shopify.com/s/files/1/0072/3681/2858/products/12_cb31f6cf-bc3d-479a-a38a-40431da6f8c9.jpg?v=1605857506
Durex Condom- Extra Thin,,durex,Reckitt Benckiser,7,Personal Care,174,,20,217,173.6,20%,0,10pcs,Y,World's no.1 condom brand,,https://images-na.ssl-images-amazon.com/images/I/61IZAVkQJHL._SL1000_.jpg
Durex Condom- Mutual Climax,,durex,Reckitt Benckiser,7,Personal Care,174,,20,217,173.6,20%,0,10pcs,Y,World's no.1 condom brand,,https://images-na.ssl-images-amazon.com/images/I/6154aY3GRwL._SL1000_.jpg
Durex Condom- Extra Time,,durex,Reckitt Benckiser,7,Personal Care,174,,20,217,173.6,20%,0,10pcs,Y,World's no.1 condom brand,,https://images-na.ssl-images-amazon.com/images/I/6107w0Kx-bL._SL1000_.jpg
Durex Lubricant Gel,,durex,Reckitt Benckiser,7,Personal Care,380,,20,475,380,20%,0,50ml,Y,Lubricant gel - cherry,,https://cdn.shopify.com/s/files/1/0072/3681/2858/products/Durex-Play-Cherry---50ml_a620587d-89f5-4713-b507-da6f5b8c59c1.jpg?v=1573632276
Veet Hair Removal Cream- normal skin,,Veet,Reckitt Benckiser,6,Personal Care,102,,10,128,102.4,20%,18%,50g,Y,salon smooth finish at home,,https://images-na.ssl-images-amazon.com/images/I/41eJUNzvZML.jpg
Veet Hair Removal Cream- normal skin,,Veet,Reckitt Benckiser,6,Personal Care,188,,10,235,188,20%,18%,100g,Y,salon smooth finish at home,,https://media-services.digital-rb.com/s3/live-productcatalogue/sys-master/images/h29/h07/8833276543006/6011062086080.png?width=1280&height=1280
Veet Hair Removal Cream- sensitive skin,,Veet,Reckitt Benckiser,6,Personal Care,102,,10,128,102.4,20%,18%,50g,Y,with aloe vera and green tea scent,,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max/static/img/product/150575/veet-hair-removal-cream-sensitive-skin-50-g-pack-of-312_1_display_1534497244_ff13f9ad.jpg"
Veet Hair Removal Cream- sensitive skin,,Veet,Reckitt Benckiser,6,Personal Care,188,,10,235,188,20%,18%,100g,Y,with aloe vera and green tea scent,,https://media-services.digital-rb.com/s3/live-productcatalogue/sys-master/images/h4b/ha8/8868194680862/Veet-HRC-Sensitive-25g.png?width=320&height=320
Veet Hair Removal Cream- dry skin,,Veet,Reckitt Benckiser,6,Personal Care,102,,10,128,102.4,20%,18%,50g,Y,with shea butter and lily scent,,https://media-services.digital-rb.com/s3/live-productcatalogue/sys-master/images/h6a/h03/8833276674078/6001106309503.png?width=1280&height=1280
Veet Hair Removal Cream- dry skin,,Veet,Reckitt Benckiser,6,Personal Care,188,,10,235,188,20%,18%,100g,Y,with shea butter and lily scent,,https://images-na.ssl-images-amazon.com/images/I/61BIQO2xcnL._SL1000_.jpg
Veet Cold Wax Strips- normal skin,,Veet,Reckitt Benckiser,6,Personal Care,159,,10,199,159.2,20%,18%,20 strips,Y,with shea butter and acal berries scent,,https://images-na.ssl-images-amazon.com/images/I/61%2BKTdM%2BXML._SX466_.jpg
Veet Cold Wax Strips- sensitive skin,,Veet,Reckitt Benckiser,6,Personal Care,159,,10,199,159.2,20%,18%,20 strips,Y,with almond oil and cornflower scent,,https://images-na.ssl-images-amazon.com/images/I/61jvXx07tRL._SL1000_.jpg
Veet Cold Wax Strips- dry skin,,Veet,Reckitt Benckiser,6,Personal Care,159,,10,199,159.2,20%,18%,20 strips,Y,with aloe vera and green tea scent,,https://images-na.ssl-images-amazon.com/images/I/611iuYsfrmL._SX425_.jpg
Veet Hair Removal Cream For Men- normal skin,,Veet,Reckitt Benckiser,6,Personal Care,102,,10,128,102.4,20%,18%,50g,Y,with ginseng extract,,https://images-na.ssl-images-amazon.com/images/I/61TOTuG8nhL._SL1100_.jpg
Veet Hair Removal Cream For Men- normal skin,,Veet,Reckitt Benckiser,6,Personal Care,188,,10,235,188,20%,18%,100g,Y,with ginseng extract,,https://images-na.ssl-images-amazon.com/images/I/610oVDvC-ZL._SX466_.jpg
Veet Hair Removal Cream For Men- sensitive skin,,Veet,Reckitt Benckiser,6,Personal Care,102,,10,128,102.4,20%,18%,50g,Y,with ginseng extract,,https://images-na.ssl-images-amazon.com/images/I/61J5p3Np3LL._SY450_.jpg
Veet Hair Removal Cream For Men- sensitive skin,,Veet,Reckitt Benckiser,6,Personal Care,188,,10,235,188,20%,18%,100g,Y,with ginseng extract,,https://images-na.ssl-images-amazon.com/images/I/61IbR-dc1mL._SY450_.jpg
